dataset,image,scale,method,degradation,lr_source_file,metric_border_pixels,dimension_policy,ssim_protocol,colour_policy,timing_device,timing_scope,device_name,device_total_memory_mb,peak_gpu_memory_mb,parameter_count,checkpoint_original_filename,checkpoint_sha256,checkpoint_source_url,checkpoint_training_dataset,checkpoint_degradation,native_width,native_height,target_width,target_height,dimension_adjusted,psnr_y,ssim_y,psnr_rgb,ssim_rgb,latency_mean_ms,latency_median_ms,latency_std_ms,latency_min_ms,latency_max_ms,warmup_runs,timed_runs,hr_width,hr_height,lr_width,lr_height,torch_version,cuda_runtime_version,generated_at_utc,python_version,numpy_version,pillow_version,skimage_version,operating_system,processor
Set5,baby.png,x2,fsrcnn,prepared_bicubic_lr,baby.png,2,native_model_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,limited_bt601_y_model_with_bicubic_cbcr,gpu,model_forward_only_cuda_events,Tesla T4,14912.6875,43.3076171875,12809,fsrcnn_x2.pth,1af70e2cbf0d11b942008d6c425e469e9fe275a68f3ac8b6c21e8672d6e67b69,https://dl.dropboxusercontent.com/s/1k3dker6g7hz76s/fsrcnn_x2.pth,91-image,bicubic,512,512,512,512,False,38.42954313994207,0.9659312203241818,36.86531683849816,0.9572385637826364,2.8810367822647094,2.8771679401397705,0.010717311285040963,2.8617920875549316,2.9020159244537354,3,10,512,512,256,256,2.11.0+cu128,12.8,2026-08-31T12:06:52.421687+00:00,3.13.15,2.1.3,11.3.0,0.25.2,Linux-6.6.122+-x86_64-with-glibc2.35,x86_64
Set5,bird.png,x2,fsrcnn,prepared_bicubic_lr,bird.png,2,native_model_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,limited_bt601_y_model_with_bicubic_cbcr,gpu,model_forward_only_cuda_events,Tesla T4,14912.6875,13.7421875,12809,fsrcnn_x2.pth,1af70e2cbf0d11b942008d6c425e469e9fe275a68f3ac8b6c21e8672d6e67b69,https://dl.dropboxusercontent.com/s/1k3dker6g7hz76s/fsrcnn_x2.pth,91-image,bicubic,288,288,288,288,False,41.80183292982902,0.9881436303739117,38.5272712702862,0.9763255642394245,1.2916255950927735,1.2808319926261902,0.06631973779556137,1.210271954536438,1.3782720565795898,3,10,288,288,144,144,2.11.0+cu128,12.8,2026-08-31T12:06:53.408018+00:00,3.13.15,2.1.3,11.3.0,0.25.2,Linux-6.6.122+-x86_64-with-glibc2.35,x86_64
Set5,butterfly.png,x2,fsrcnn,prepared_bicubic_lr,butterfly.png,2,native_model_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,limited_bt601_y_model_with_bicubic_cbcr,gpu,model_forward_only_cuda_events,Tesla T4,14912.6875,10.8701171875,12809,fsrcnn_x2.pth,1af70e2cbf0d11b942008d6c425e469e9fe275a68f3ac8b6c21e8672d6e67b69,https://dl.dropboxusercontent.com/s/1k3dker6g7hz76s/fsrcnn_x2.pth,91-image,bicubic,256,256,256,256,False,33.502443257876386,0.9704324539357979,31.956221241874957,0.9612171977948162,1.00867840051651,0.9713440239429474,0.06859534826047682,0.9625599980354309,1.1509439945220947,3,10,256,256,128,128,2.11.0+cu128,12.8,2026-08-31T12:06:53.512592+00:00,3.13.15,2.1.3,11.3.0,0.25.2,Linux-6.6.122+-x86_64-with-glibc2.35,x86_64
Set5,head.png,x2,fsrcnn,prepared_bicubic_lr,head.png,2,native_model_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,limited_bt601_y_model_with_bicubic_cbcr,gpu,model_forward_only_cuda_events,Tesla T4,14912.6875,12.9931640625,12809,fsrcnn_x2.pth,1af70e2cbf0d11b942008d6c425e469e9fe275a68f3ac8b6c21e8672d6e67b69,https://dl.dropboxusercontent.com/s/1k3dker6g7hz76s/fsrcnn_x2.pth,91-image,bicubic,280,280,280,280,False,35.76549932296843,0.8869932942337938,32.041903520887224,0.8241305500049148,1.0899360060691834,1.0874399542808533,0.01424085656211206,1.0730880498886108,1.124351978302002,3,10,280,280,140,140,2.11.0+cu128,12.8,2026-08-31T12:06:53.639834+00:00,3.13.15,2.1.3,11.3.0,0.25.2,Linux-6.6.122+-x86_64-with-glibc2.35,x86_64
Set5,woman.png,x2,fsrcnn,prepared_bicubic_lr,woman.png,2,native_model_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,limited_bt601_y_model_with_bicubic_cbcr,gpu,model_forward_only_cuda_events,Tesla T4,14912.6875,12.9990234375,12809,fsrcnn_x2.pth,1af70e2cbf0d11b942008d6c425e469e9fe275a68f3ac8b6c21e8672d6e67b69,https://dl.dropboxusercontent.com/s/1k3dker6g7hz76s/fsrcnn_x2.pth,91-image,bicubic,228,344,228,344,False,35.63108683998095,0.9708559336582496,34.270540027971805,0.9668720031999913,1.0826655864715575,1.0802879929542542,0.011210879046182261,1.0652799606323242,1.1038719415664673,3,10,228,344,114,172,2.11.0+cu128,12.8,2026-08-31T12:06:53.768277+00:00,3.13.15,2.1.3,11.3.0,0.25.2,Linux-6.6.122+-x86_64-with-glibc2.35,x86_64
Set14,baboon.png,x2,fsrcnn,prepared_bicubic_lr,baboon.png,2,native_model_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,limited_bt601_y_model_with_bicubic_cbcr,gpu,model_forward_only_cuda_events,Tesla T4,14912.6875,39.654296875,12809,fsrcnn_x2.pth,1af70e2cbf0d11b942008d6c425e469e9fe275a68f3ac8b6c21e8672d6e67b69,https://dl.dropboxusercontent.com/s/1k3dker6g7hz76s/fsrcnn_x2.pth,91-image,bicubic,500,480,500,480,False,25.782706323954375,0.7722506713190628,23.377717429317805,0.6999380379607741,2.640771198272705,2.64136004447937,0.01147308380376834,2.6227200031280518,2.65993595123291,3,10,500,480,250,240,2.11.0+cu128,12.8,2026-08-31T12:06:54.101836+00:00,3.13.15,2.1.3,11.3.0,0.25.2,Linux-6.6.122+-x86_64-with-glibc2.35,x86_64
Set14,barbara.png,x2,fsrcnn,prepared_bicubic_lr,barbara.png,2,native_model_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,limited_bt601_y_model_with_bicubic_cbcr,gpu,model_forward_only_cuda_events,Tesla T4,14912.6875,68.75,12809,fsrcnn_x2.pth,1af70e2cbf0d11b942008d6c425e469e9fe275a68f3ac8b6c21e8672d6e67b69,https://dl.dropboxusercontent.com/s/1k3dker6g7hz76s/fsrcnn_x2.pth,91-image,bicubic,720,576,720,576,False,28.232524080981165,0.875843997462099,26.717056166102616,0.8560240427451609,4.396399974822998,4.395024061203003,0.014863546253016321,4.374527931213379,4.421247959136963,3,10,720,576,360,288,2.11.0+cu128,12.8,2026-08-31T12:06:54.699235+00:00,3.13.15,2.1.3,11.3.0,0.25.2,Linux-6.6.122+-x86_64-with-glibc2.35,x86_64
Set14,bridge.png,x2,fsrcnn,prepared_bicubic_lr,bridge.png,2,native_model_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,limited_bt601_y_model_with_bicubic_cbcr,gpu,model_forward_only_cuda_events,Tesla T4,14912.6875,43.3076171875,12809,fsrcnn_x2.pth,1af70e2cbf0d11b942008d6c425e469e9fe275a68f3ac8b6c21e8672d6e67b69,https://dl.dropboxusercontent.com/s/1k3dker6g7hz76s/fsrcnn_x2.pth,91-image,bicubic,512,512,512,512,False,29.18332195167015,0.860123385204258,27.861396281337484,0.852442271477655,2.8735039949417116,2.872671961784363,0.007903712338388956,2.861599922180176,2.885632038116455,3,10,512,512,256,256,2.11.0+cu128,12.8,2026-08-31T12:06:55.047215+00:00,3.13.15,2.1.3,11.3.0,0.25.2,Linux-6.6.122+-x86_64-with-glibc2.35,x86_64
Set14,coastguard.png,x2,fsrcnn,prepared_bicubic_lr,coastguard.png,2,native_model_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,limited_bt601_y_model_with_bicubic_cbcr,gpu,model_forward_only_cuda_events,Tesla T4,14912.6875,16.783203125,12809,fsrcnn_x2.pth,1af70e2cbf0d11b942008d6c425e469e9fe275a68f3ac8b6c21e8672d6e67b69,https://dl.dropboxusercontent.com/s/1k3dker6g7hz76s/fsrcnn_x2.pth,91-image,bicubic,352,288,352,288,False,30.75791859053537,0.8488411576559355,29.42106190977706,0.8364127085161802,1.3745024085044861,1.3664159774780273,0.03303686231317366,1.3333439826965332,1.4282560348510742,3,10,352,288,176,144,2.11.0+cu128,12.8,2026-08-31T12:06:55.217244+00:00,3.13.15,2.1.3,11.3.0,0.25.2,Linux-6.6.122+-x86_64-with-glibc2.35,x86_64
Set14,comic.png,x2,fsrcnn,prepared_bicubic_lr,comic.png,2,native_model_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,limited_bt601_y_model_with_bicubic_cbcr,gpu,model_forward_only_cuda_events,Tesla T4,14912.6875,14.9072265625,12809,fsrcnn_x2.pth,1af70e2cbf0d11b942008d6c425e469e9fe275a68f3ac8b6c21e8672d6e67b69,https://dl.dropboxusercontent.com/s/1k3dker6g7hz76s/fsrcnn_x2.pth,91-image,bicubic,250,360,250,361,True,28.847497911603874,0.9222827092171335,27.115024675432903,0.9083687288030712,1.3075551986694336,1.306704044342041,0.011196203505264221,1.2923840284347534,1.3295040130615234,3,10,250,361,125,180,2.11.0+cu128,12.8,2026-08-31T12:06:55.357321+00:00,3.13.15,2.1.3,11.3.0,0.25.2,Linux-6.6.122+-x86_64-with-glibc2.35,x86_64
