dataset,image,scale,method,degradation,lr_source_file,metric_border_pixels,dimension_policy,ssim_protocol,colour_policy,timing_device,timing_scope,device_name,device_total_memory_mb,peak_gpu_memory_mb,parameter_count,checkpoint_original_filename,checkpoint_sha256,checkpoint_source_url,checkpoint_training_dataset,checkpoint_degradation,native_width,native_height,target_width,target_height,dimension_adjusted,psnr_y,ssim_y,psnr_rgb,ssim_rgb,latency_mean_ms,latency_median_ms,latency_std_ms,latency_min_ms,latency_max_ms,warmup_runs,timed_runs,hr_width,hr_height,lr_width,lr_height,torch_version,cuda_runtime_version,generated_at_utc,python_version,numpy_version,pillow_version,skimage_version,operating_system,processor
Set5,baby.png,x2,imdn,prepared_bicubic_lr,baby.png,2,native_model_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,rgb_model,gpu,model_forward_only_cuda_events,Tesla T4,14912.6875,230.4130859375,694404,IMDN_x2.pth,740b39653592bd3f49955a21cd9e16f2d37f2c413368cc09327601b8fbe42ce1,https://raw.githubusercontent.com/Zheng222/IMDN/master/checkpoints/IMDN_x2.pth,DIV2K,bicubic,512,512,512,512,False,38.9068345644496,0.9678406251859305,37.36965348778183,0.9600473531471261,31.049254608154296,30.039552688598633,3.07159797143913,29.781696319580078,40.236351013183594,3,10,512,512,256,256,2.11.0+cu128,12.8,2026-08-30T20:07:54.408375+00:00,3.13.15,2.1.3,11.3.0,0.25.2,Linux-6.6.122+-x86_64-with-glibc2.35,x86_64
Set5,bird.png,x2,imdn,prepared_bicubic_lr,bird.png,2,native_model_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,rgb_model,gpu,model_forward_only_cuda_events,Tesla T4,14912.6875,76.349609375,694404,IMDN_x2.pth,740b39653592bd3f49955a21cd9e16f2d37f2c413368cc09327601b8fbe42ce1,https://raw.githubusercontent.com/Zheng222/IMDN/master/checkpoints/IMDN_x2.pth,DIV2K,bicubic,288,288,288,288,False,43.28960418668931,0.9906184829249826,40.58104044323362,0.9839585352890712,9.592985534667969,9.635679721832275,0.17059849186948947,9.322303771972656,9.773056030273438,3,10,288,288,144,144,2.11.0+cu128,12.8,2026-08-30T20:07:54.684099+00:00,3.13.15,2.1.3,11.3.0,0.25.2,Linux-6.6.122+-x86_64-with-glibc2.35,x86_64
Set5,butterfly.png,x2,imdn,prepared_bicubic_lr,butterfly.png,2,native_model_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,rgb_model,gpu,model_forward_only_cuda_events,Tesla T4,14912.6875,59.6005859375,694404,IMDN_x2.pth,740b39653592bd3f49955a21cd9e16f2d37f2c413368cc09327601b8fbe42ce1,https://raw.githubusercontent.com/Zheng222/IMDN/master/checkpoints/IMDN_x2.pth,DIV2K,bicubic,256,256,256,256,False,35.364561626435155,0.9782987662830303,33.77020818215878,0.9703713507304784,7.5254816055297855,7.617696046829224,0.4467032865094887,6.87286376953125,8.35155200958252,3,10,256,256,128,128,2.11.0+cu128,12.8,2026-08-30T20:07:54.910412+00:00,3.13.15,2.1.3,11.3.0,0.25.2,Linux-6.6.122+-x86_64-with-glibc2.35,x86_64
Set5,head.png,x2,imdn,prepared_bicubic_lr,head.png,2,native_model_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,rgb_model,gpu,model_forward_only_cuda_events,Tesla T4,14912.6875,70.77734375,694404,IMDN_x2.pth,740b39653592bd3f49955a21cd9e16f2d37f2c413368cc09327601b8fbe42ce1,https://raw.githubusercontent.com/Zheng222/IMDN/master/checkpoints/IMDN_x2.pth,DIV2K,bicubic,280,280,280,280,False,36.020012787563246,0.8909827503462712,32.290766928789374,0.8327261814590825,9.703526306152344,9.562335968017578,0.5455870750360722,9.04041576385498,10.838111877441406,3,10,280,280,140,140,2.11.0+cu128,12.8,2026-08-30T20:07:55.168281+00:00,3.13.15,2.1.3,11.3.0,0.25.2,Linux-6.6.122+-x86_64-with-glibc2.35,x86_64
Set5,woman.png,x2,imdn,prepared_bicubic_lr,woman.png,2,native_model_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,rgb_model,gpu,model_forward_only_cuda_events,Tesla T4,14912.6875,70.80517578125,694404,IMDN_x2.pth,740b39653592bd3f49955a21cd9e16f2d37f2c413368cc09327601b8fbe42ce1,https://raw.githubusercontent.com/Zheng222/IMDN/master/checkpoints/IMDN_x2.pth,DIV2K,bicubic,228,344,228,344,False,36.3896506875303,0.9746171569060088,35.02261493129553,0.9710014263276602,9.908534336090089,10.070335865020752,0.33435611253775976,9.084927558898926,10.153984069824219,3,10,228,344,114,172,2.11.0+cu128,12.8,2026-08-30T20:07:55.434136+00:00,3.13.15,2.1.3,11.3.0,0.25.2,Linux-6.6.122+-x86_64-with-glibc2.35,x86_64
Set14,baboon.png,x2,imdn,prepared_bicubic_lr,baboon.png,2,native_model_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,rgb_model,gpu,model_forward_only_cuda_events,Tesla T4,14912.6875,211.1748046875,694404,IMDN_x2.pth,740b39653592bd3f49955a21cd9e16f2d37f2c413368cc09327601b8fbe42ce1,https://raw.githubusercontent.com/Zheng222/IMDN/master/checkpoints/IMDN_x2.pth,DIV2K,bicubic,500,480,500,480,False,26.357911118409167,0.7951952986538755,24.00872708579189,0.737601764573553,29.772172927856445,29.784159660339355,0.12601041645916264,29.527616500854492,29.986591339111328,3,10,500,480,250,240,2.11.0+cu128,12.8,2026-08-30T20:07:56.233389+00:00,3.13.15,2.1.3,11.3.0,0.25.2,Linux-6.6.122+-x86_64-with-glibc2.35,x86_64
Set14,barbara.png,x2,imdn,prepared_bicubic_lr,barbara.png,2,native_model_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,rgb_model,gpu,model_forward_only_cuda_events,Tesla T4,14912.6875,367.79931640625,694404,IMDN_x2.pth,740b39653592bd3f49955a21cd9e16f2d37f2c413368cc09327601b8fbe42ce1,https://raw.githubusercontent.com/Zheng222/IMDN/master/checkpoints/IMDN_x2.pth,DIV2K,bicubic,720,576,720,576,False,28.70067238252878,0.8857476390494223,27.16396891471778,0.867072535557043,48.1671745300293,48.14217758178711,0.172089254060506,47.82912063598633,48.41267013549805,3,10,720,576,360,288,2.11.0+cu128,12.8,2026-08-30T20:07:57.555805+00:00,3.13.15,2.1.3,11.3.0,0.25.2,Linux-6.6.122+-x86_64-with-glibc2.35,x86_64
Set14,bridge.png,x2,imdn,prepared_bicubic_lr,bridge.png,2,native_model_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,rgb_model,gpu,model_forward_only_cuda_events,Tesla T4,14912.6875,230.4130859375,694404,IMDN_x2.pth,740b39653592bd3f49955a21cd9e16f2d37f2c413368cc09327601b8fbe42ce1,https://raw.githubusercontent.com/Zheng222/IMDN/master/checkpoints/IMDN_x2.pth,DIV2K,bicubic,512,512,512,512,False,29.499617148600894,0.8684581818037825,28.175729207166825,0.8611238039930235,30.156716918945314,30.126272201538086,0.2962646157345147,29.76767921447754,30.90947151184082,3,10,512,512,256,256,2.11.0+cu128,12.8,2026-08-30T20:07:58.263558+00:00,3.13.15,2.1.3,11.3.0,0.25.2,Linux-6.6.122+-x86_64-with-glibc2.35,x86_64
Set14,coastguard.png,x2,imdn,prepared_bicubic_lr,coastguard.png,2,native_model_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,rgb_model,gpu,model_forward_only_cuda_events,Tesla T4,14912.6875,90.8828125,694404,IMDN_x2.pth,740b39653592bd3f49955a21cd9e16f2d37f2c413368cc09327601b8fbe42ce1,https://raw.githubusercontent.com/Zheng222/IMDN/master/checkpoints/IMDN_x2.pth,DIV2K,bicubic,352,288,352,288,False,31.374391791959738,0.8582192748938728,30.029468635459878,0.8460571224974406,11.647702407836913,11.786255836486816,0.34403733416516774,10.973183631896973,11.955455780029297,3,10,352,288,176,144,2.11.0+cu128,12.8,2026-08-30T20:07:58.548950+00:00,3.13.15,2.1.3,11.3.0,0.25.2,Linux-6.6.122+-x86_64-with-glibc2.35,x86_64
Set14,comic.png,x2,imdn,prepared_bicubic_lr,comic.png,2,native_model_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,rgb_model,gpu,model_forward_only_cuda_events,Tesla T4,14912.6875,80.85546875,694404,IMDN_x2.pth,740b39653592bd3f49955a21cd9e16f2d37f2c413368cc09327601b8fbe42ce1,https://raw.githubusercontent.com/Zheng222/IMDN/master/checkpoints/IMDN_x2.pth,DIV2K,bicubic,250,360,250,361,True,29.93950614153263,0.9419098903172305,28.42146451456847,0.9347223722999477,11.35921277999878,11.470032215118408,0.31681703136531836,10.637311935424805,11.661087989807129,3,10,250,361,125,180,2.11.0+cu128,12.8,2026-08-30T20:07:58.808141+00:00,3.13.15,2.1.3,11.3.0,0.25.2,Linux-6.6.122+-x86_64-with-glibc2.35,x86_64
