dataset,image,scale,method,psnr,ssim,runtime_ms
BSD100,101085.png,x3,bicubic,22.567875486382704,0.5884922439722404,2.5901520002662437
BSD100,101087.png,x3,bicubic,26.58387612584091,0.8148851702817175,3.635094000856043
BSD100,102061.png,x3,bicubic,24.860510912778047,0.8007662844472406,2.631510998980957
BSD100,103070.png,x3,bicubic,29.402537506671628,0.8642822156603006,2.5938300004781922
BSD100,105025.png,x3,bicubic,25.223892022143804,0.7430934998860339,3.070353001021431
BSD100,106024.png,x3,bicubic,31.31923260807618,0.8900137492701604,2.943776999018155
BSD100,108005.png,x3,bicubic,25.242720727276836,0.762655781636998,4.077534000316518
BSD100,108070.png,x3,bicubic,22.170319356507406,0.622230819932347,2.577836999989813
BSD100,108082.png,x3,bicubic,26.234102822607753,0.7995818847356494,2.5491259984846693
BSD100,109053.png,x3,bicubic,28.21213914785798,0.81756037813971,3.17930500023067
BSD100,119082.png,x3,bicubic,22.367463995307254,0.6972565546941212,2.533812999899965
BSD100,12084.png,x3,bicubic,26.437103784979055,0.7623901210268381,3.9567560015711933
BSD100,123074.png,x3,bicubic,29.123421110980754,0.8392910423828982,2.64425200111873
BSD100,126007.png,x3,bicubic,27.37877189809059,0.8113088903110866,2.679663999515469
BSD100,130026.png,x3,bicubic,24.042914321393884,0.6989916865314729,3.7776459994347533
BSD100,134035.png,x3,bicubic,23.026216435542068,0.7555875965564219,3.2109900002978975
BSD100,14037.png,x3,bicubic,32.26275347003921,0.876787203981246,2.664854000613559
BSD100,143090.png,x3,bicubic,30.808572585805983,0.8887483488122098,2.590772000985453
BSD100,145086.png,x3,bicubic,23.920539185965772,0.7035338539621813,2.541468998970231
BSD100,147091.png,x3,bicubic,24.368550005104545,0.7891424725790303,2.7535409990377957
BSD100,148026.png,x3,bicubic,20.68983160243725,0.6603910672951944,2.649178000865504
BSD100,148089.png,x3,bicubic,22.45874334755538,0.6349589158879114,2.732270000706194
BSD100,156065.png,x3,bicubic,23.891785210011285,0.5915694369112137,2.5483040008111857
BSD100,157055.png,x3,bicubic,24.98514660899663,0.7914434575671362,5.546591999518569
BSD100,159008.png,x3,bicubic,25.865689681639555,0.822676018213388,2.5190899996232474
BSD100,160068.png,x3,bicubic,26.03993347042994,0.8480645923483788,2.5699670004541986
BSD100,16077.png,x3,bicubic,26.466157429118056,0.7478354692368185,2.4832779999997
BSD100,163085.png,x3,bicubic,28.585462130466706,0.8232172392546458,2.6151659985771403
BSD100,167062.png,x3,bicubic,28.582218647536042,0.8628700638836388,2.525470999898971
BSD100,167083.png,x3,bicubic,18.88067512631046,0.542291282432743,2.4884360009309603
BSD100,170057.png,x3,bicubic,28.667343322746195,0.8350286412549045,2.5734669998200843
BSD100,175032.png,x3,bicubic,20.04054606943808,0.4764012383029852,3.5431039996183245
BSD100,175043.png,x3,bicubic,24.244304182962566,0.7119724610190863,2.93808699825604
BSD100,182053.png,x3,bicubic,23.12100987478967,0.7573155290944538,2.959993000331451
BSD100,189080.png,x3,bicubic,31.182227962789753,0.8709774794793451,3.2745420012361137
BSD100,19021.png,x3,bicubic,25.52654667229423,0.7435975726166241,2.9039720011496684
BSD100,196073.png,x3,bicubic,26.820877721329644,0.5015169483932952,2.686773001187248
BSD100,197017.png,x3,bicubic,26.51420245668193,0.709411897942558,2.6795529993250966
BSD100,208001.png,x3,bicubic,27.20645043236538,0.7462269587311502,4.129713999645901
BSD100,210088.png,x3,bicubic,29.892705422416064,0.9082790023527078,2.987333000419312
BSD100,21077.png,x3,bicubic,24.912018977078752,0.7218313697029339,2.801194999847212
BSD100,216081.png,x3,bicubic,24.221472280438114,0.6995654593002203,2.6079780000145547
BSD100,219090.png,x3,bicubic,25.20057897950755,0.743933079901811,2.5203719997080043
BSD100,220075.png,x3,bicubic,25.741856363088313,0.8615339056057284,3.0671029999211896
BSD100,223061.png,x3,bicubic,23.41680165829419,0.6827017965258829,2.501091999874916
BSD100,227092.png,x3,bicubic,32.604614721424305,0.8553711570544055,2.6211859985778574
BSD100,229036.png,x3,bicubic,21.536306252598205,0.6360664417301108,2.582299999630777
BSD100,236037.png,x3,bicubic,24.055681829509492,0.6857419066078818,2.786255001410609
BSD100,24077.png,x3,bicubic,23.961338831185593,0.8404219159090563,2.5563620001776144
BSD100,241004.png,x3,bicubic,30.599416707257006,0.8297261441043119,3.977213000325719
BSD100,241048.png,x3,bicubic,23.795283217045164,0.6456515333830614,2.6005300005635945
BSD100,253027.png,x3,bicubic,21.34991049716197,0.7102365237324572,2.5870449990179623
BSD100,253055.png,x3,bicubic,30.84423475059924,0.830225206155915,3.0718090001755627
BSD100,260058.png,x3,bicubic,31.48391134971833,0.7922456034407613,2.9607529995701043
BSD100,271035.png,x3,bicubic,25.915445940220778,0.7596569755428152,2.581693999673007
BSD100,285079.png,x3,bicubic,23.842486643145847,0.6904100552932503,3.7208640005701454
BSD100,291000.png,x3,bicubic,20.271155087713876,0.4685823056720939,2.5004809995152755
BSD100,295087.png,x3,bicubic,26.34637049911355,0.7320820605309638,2.7448360015114304
BSD100,296007.png,x3,bicubic,30.95867660934597,0.792490237571528,2.8049749998899642
BSD100,296059.png,x3,bicubic,29.032103132851553,0.7624624820808797,2.501828001186368
BSD100,299086.png,x3,bicubic,30.55868555116488,0.8002773816917544,2.5880819994199555
BSD100,300091.png,x3,bicubic,27.191500060281125,0.7801119509778586,2.775572998871212
BSD100,302008.png,x3,bicubic,28.84318167210634,0.9330813167372431,2.7558990004763473
BSD100,304034.png,x3,bicubic,23.375512296779917,0.7141916576655271,2.463748000081978
BSD100,304074.png,x3,bicubic,24.706753710238424,0.646369206112925,2.6220559993817005
BSD100,306005.png,x3,bicubic,26.872922815647584,0.8051860014339929,2.543475000493345
BSD100,3096.png,x3,bicubic,35.376530068748,0.9667578206051898,3.0910200002836064
BSD100,33039.png,x3,bicubic,20.01798958943646,0.6356030751729896,2.716904000408249
BSD100,351093.png,x3,bicubic,21.52837257818873,0.6671109110841001,3.3072900005208794
BSD100,361010.png,x3,bicubic,26.562261566649074,0.7915267329081807,2.603521001219633
BSD100,37073.png,x3,bicubic,27.94030473913322,0.7595311125080997,3.8363240000762744
BSD100,376043.png,x3,bicubic,24.37730392192541,0.6478437618413871,2.956492999146576
BSD100,38082.png,x3,bicubic,26.396799028304258,0.6513695765818452,2.556911000283435
BSD100,38092.png,x3,bicubic,24.978261905551797,0.7165027612336576,2.807799999573035
BSD100,385039.png,x3,bicubic,22.327135605435,0.673864077300292,2.606130001368001
BSD100,41033.png,x3,bicubic,28.175905928247257,0.782989426527327,4.349707998699159
BSD100,41069.png,x3,bicubic,22.70042008121882,0.5259491194997491,2.969438999571139
BSD100,42012.png,x3,bicubic,28.349580286863084,0.8225733386766324,2.898466000260669
BSD100,42049.png,x3,bicubic,27.36439319120898,0.904627480439788,2.8294179992371937
BSD100,43074.png,x3,bicubic,29.022715548315723,0.8295839641421955,3.074260999710532
BSD100,45096.png,x3,bicubic,33.72445535708721,0.9228143191807662,2.815124000335345
BSD100,54082.png,x3,bicubic,27.08269184022178,0.7118641483333631,2.64391299970157
BSD100,55073.png,x3,bicubic,21.170667993708463,0.5493426951581925,2.599490000648075
BSD100,58060.png,x3,bicubic,20.152874311210127,0.6086980634069074,4.107827000552788
BSD100,62096.png,x3,bicubic,23.130555567676673,0.7464732151932311,2.750933001152589
BSD100,65033.png,x3,bicubic,23.880476434450998,0.6117715276679736,2.9380910000327276
BSD100,66053.png,x3,bicubic,26.285461365708112,0.7085311774640296,2.8367499999149004
BSD100,69015.png,x3,bicubic,29.11495325677233,0.8214036646303309,2.6603449987305794
BSD100,69020.png,x3,bicubic,26.11204339144789,0.5997197274926666,2.5807620004343335
BSD100,69040.png,x3,bicubic,24.302786966950478,0.6917619032808009,2.5676949990156572
BSD100,76053.png,x3,bicubic,28.1539848339182,0.719846191370309,3.942770999856293
BSD100,78004.png,x3,bicubic,24.374592484590796,0.7106389346885548,5.428978000054485
BSD100,8023.png,x3,bicubic,29.47359919187839,0.8960093036415785,4.337126998507301
BSD100,85048.png,x3,bicubic,24.38605105534834,0.7275520574394244,2.7414129999669967
BSD100,86000.png,x3,bicubic,24.202416724513434,0.7739162549422433,4.161187000136124
BSD100,86016.png,x3,bicubic,20.896646242025735,0.3566548462346366,4.370762000689865
BSD100,86068.png,x3,bicubic,26.014281798976132,0.5760015214558926,4.444238998985384
BSD100,87046.png,x3,bicubic,25.088711583934984,0.8013522925881972,4.379586000140989
BSD100,89072.png,x3,bicubic,25.27075643917165,0.7219457932110597,4.499896000197623
BSD100,97033.png,x3,bicubic,23.33648127737987,0.7144446886355452,5.535943000722909
