dataset,image,scale,method,psnr,ssim,runtime_ms
Set14,baboon.png,x3,bicubic,20.99880312590255,0.5189147139251903,3.8988910000625765
Set14,barbara.png,x3,bicubic,24.66792322343607,0.7394901328229663,6.861456000478938
Set14,bridge.png,x3,bicubic,24.23193580590012,0.6777701405597715,6.328383999061771
Set14,coastguard.png,x3,bicubic,25.153021530131845,0.6073055813560365,2.1484990011231275
Set14,comic.png,x3,bicubic,21.664021006844933,0.723138096809,1.6939880006248131
Set14,face.png,x3,bicubic,29.932697890126512,0.751942890889303,1.3776429987046868
Set14,flowers.png,x3,bicubic,25.50649603285563,0.801236032401281,3.781936999075697
Set14,foreman.png,x3,bicubic,28.038988367872708,0.8935235702357788,2.0681939986388898
Set14,lenna.png,x3,bicubic,29.850912647261882,0.801849375602103,4.260034000253654
Set14,man.png,x3,bicubic,25.723128065252627,0.7502651863935896,4.5015710002189735
Set14,monarch.png,x3,bicubic,28.15982786781161,0.9142092045162657,6.341635000353563
Set14,pepper.png,x3,bicubic,28.438900662524777,0.801966305987048,4.551719999653869
Set14,ppt3.png,x3,bicubic,22.335875820951003,0.8730913525012135,5.594261001533596
Set14,zebra.png,x3,bicubic,25.33837191197197,0.8027986869957853,3.726654998899903
