dataset,scale,method,image_count,psnr_y,ssim_y,psnr_rgb,ssim_rgb,latency_mean_ms,latency_median_ms,timing_device,timing_context,parameter_count,peak_gpu_memory_mean_mb,peak_gpu_memory_max_mb,psnr_y_rank,ssim_y_rank,psnr_rgb_rank,ssim_rgb_rank,psnr_y_vs_bicubic_db,ssim_y_vs_bicubic
Set5,x2,bicubic,5,33.67331115937241,0.9302910194648595,31.7870492364823,0.9086651836587324,2.06164508,2.0420084000000003,cpu,CPU; Google Colab default CPU (exact model not recorded),,,,3,3,3,3,0.0,0.0
Set5,x2,nedi,5,33.15639267440928,0.9243834472195921,31.191154079344688,0.897427096615419,5749.56634728,5627.0562718,cpu,CPU; AWS m7i.2xlarge,,,,4,4,4,4,-0.5169184849631279,-0.0059075722452673896
Set5,x2,fsrcnn,5,37.02608109811937,0.956471306505187,34.73225057990367,0.9371567758043566,1.4707884740829467,1.4594143807888031,gpu,GPU; NVIDIA Tesla T4,12809,18.782421875,43.3076171875,2,2,2,2,3.3527699387469596,0.026180287040327488
Set5,x2,imdn,5,37.994132770533525,0.9604715563292446,35.80685679465183,0.9436209693906836,13.555956478118897,13.385120058059693,gpu,GPU; NVIDIA Tesla T4,694404,101.58916015625,230.4130859375,1,1,1,1,4.320821611161115,0.030180536864385155
Set5,x3,bicubic,5,30.39541209475994,0.8683844561757821,28.612665582542164,0.8375868515165985,1.8636601799999999,1.8375550999999999,cpu,CPU; Google Colab default CPU (exact model not recorded),,,,3,3,3,3,0.0,0.0
Set5,x3,nedi,5,29.886498143999674,0.8595540502692403,28.081080037469736,0.8233894014271386,2334.02125198,2326.0765673,cpu,CPU; AWS m7i.2xlarge,,,,4,4,4,4,-0.5089139507602667,-0.008830405906541827
Set5,x3,fsrcnn,5,32.57191758145433,0.9053910476000898,30.550178740788738,0.8751473179921491,0.8431327986717224,0.8290911972522735,gpu,GPU; NVIDIA Tesla T4,12809,8.5669921875,19.68212890625,2,2,2,2,2.1765054866943885,0.03700659142430773
Set5,x3,imdn,5,34.363546285586004,0.9266892470162623,32.35057959385642,0.9019168934513534,8.317507076263428,8.270297431945801,gpu,GPU; NVIDIA Tesla T4,703059,49.49990234375,104.78369140625,1,1,1,1,3.9681341908260634,0.058304790840480236
Set5,x4,bicubic,5,28.429255869603413,0.8110747936464384,26.69231777574112,0.7730317133836254,1.66775746,1.623839,cpu,CPU; Google Colab default CPU (exact model not recorded),,,,3,3,3,3,0.0,0.0
Set5,x4,nedi,5,27.747317111471244,0.798319133793417,25.93718010494256,0.7461206672848464,5963.0812526400005,5939.1548126,cpu,CPU; AWS m7i.2xlarge,,,,4,4,4,4,-0.6819387581321692,-0.012755659853021406
