dataset,scale,method,image_count,psnr_y,ssim_y,psnr_rgb,ssim_rgb,latency_mean_ms,latency_median_ms,parameter_count,peak_gpu_memory_mean_mb,peak_gpu_memory_max_mb,dimension_adjusted_count
Set5,x2,fsrcnn,5,37.02608109811937,0.956471306505187,34.73225057990367,0.9371567758043566,1.4707884740829467,1.4594143807888031,12809,18.782421875,43.3076171875,0
Set5,x3,fsrcnn,5,32.57191758145433,0.9053910476000898,30.550178740788738,0.8751473179921491,0.8431327986717224,0.8290911972522735,12809,8.5669921875,19.68212890625,4
Set5,x4,fsrcnn,5,30.49830298746281,0.8597311268491276,28.5159437668074,0.8203014601854719,0.7621017622947692,0.751331216096878,12809,5.0638671875,11.6201171875,0
Set14,x2,fsrcnn,14,32.66014112821545,0.9090116623750097,30.529800450295745,0.8803816682704413,2.5972523357187,2.593858288867133,12809,38.055245535714285,68.75,3
Set14,x3,fsrcnn,14,29.228906638001718,0.8179893362662051,27.32082661179548,0.7793826166310417,1.4774416037968228,1.4360274480921882,12809,17.430315290178573,31.6591796875,12
Set14,x4,fsrcnn,14,27.56393370071066,0.7510102260100288,25.731055975198625,0.7057422422633768,1.078252801299095,1.0268297110285078,12809,10.224400111607142,18.57470703125,4
BSD100,x2,fsrcnn,100,31.355701192093633,0.8875065789492717,29.99559792286027,0.8770564440500582,1.8035251171588897,1.7915475207567215,12809,25.3994140625,25.3994140625,100
BSD100,x3,fsrcnn,100,28.27522912563692,0.7822344022526883,26.92167598582306,0.7622163434516623,1.0960624334812163,1.0763867223262786,12809,11.6826171875,11.6826171875,100
BSD100,x4,fsrcnn,100,26.8767309559971,0.7090180446871949,25.516986075140977,0.6821021095706578,0.8706977915763855,0.8442856022715568,12809,6.83251953125,6.83251953125,100
Urban100,x2,fsrcnn,100,29.808132390093586,0.9011161458106627,28.189612418213756,0.8881733844351831,7.108648042201996,7.117463698387146,12809,127.9079833984375,203.9169921875,0
Urban100,x3,fsrcnn,100,25.976210696339425,0.7914844479678864,24.45649237349644,0.7696205624314941,4.048845149517059,4.043037275075912,12809,58.7962451171875,95.2578125,100
Urban100,x4,fsrcnn,100,24.458168320137045,0.7190450873583931,22.945727056174377,0.6900738269718377,2.344308670401573,2.336780160665512,12809,34.395078125,54.2568359375,0
