dataset,scale,method,image_count,psnr_y,ssim_y,psnr_rgb,ssim_rgb,latency_mean_ms,latency_median_ms,parameter_count,peak_gpu_memory_mean_mb,peak_gpu_memory_max_mb,dimension_adjusted_count
Set5,x2,imdn,5,37.994132770533525,0.9604715563292446,35.80685679465183,0.9436209693906836,13.555956478118897,13.385120058059693,694404,101.58916015625,230.4130859375,0
Set5,x3,imdn,5,34.363546285586004,0.9266892470162623,32.35057959385642,0.9019168934513534,8.317507076263428,8.270297431945801,703059,49.49990234375,104.78369140625,4
Set5,x4,imdn,5,32.207381161182674,0.8948408719402351,30.29961144570984,0.8644762538310152,7.301709394454956,6.9516479015350345,715176,34.15810546875,62.9296875,0
Set14,x2,imdn,14,33.57312426920769,0.917553197923336,31.51238865672106,0.8938495374867966,27.12368984903608,27.15228005817958,694404,218.09660993303572,431.32666015625,3
Set14,x3,imdn,14,30.307980693153176,0.8404284846298359,28.41744025599505,0.8079262631080265,14.233848929405212,14.219766957419258,703059,92.92463030133929,166.7197265625,12
Set14,x4,imdn,14,28.588922132334716,0.7804861742037698,26.78115382096655,0.7425362992752531,7.899375081062317,7.938437615122114,715176,56.458705357142854,96.41015625,4
BSD100,x2,imdn,100,31.98284121387577,0.896776678319952,30.623181659071413,0.8870501042073925,18.129682138442995,18.0808314037323,694404,136.1103515625,136.1103515625,100
BSD100,x3,imdn,100,29.07297719135551,0.8038820372481578,27.72296012630437,0.7856940931117465,8.736279136180878,9.061012773513793,703059,63.28515625,63.28515625,100
BSD100,x4,imdn,100,27.536978755535973,0.7341115355072635,26.191430794722816,0.7095440202090324,6.369302112579346,6.269526400566101,715176,41.2427880859375,52.0712890625,100
Urban100,x2,imdn,100,32.175697041136594,0.9283043152590759,30.543747069511653,0.9189258192978257,99.85789886474609,99.8245987701416,694404,675.473447265625,1070.2509765625,0
Urban100,x3,imdn,100,28.02228722859082,0.8490965593106979,26.4782246673056,0.8323945107107209,48.22499123764038,48.182236328125,703059,383.0187939453125,484.55126953125,100
Urban100,x4,imdn,100,26.043091264272515,0.7837825225968309,24.531715609242926,0.7624779739435193,26.04704104042053,25.924469966888427,715176,179.72556640625,393.18408203125,0
