dataset,image,scale,method,psnr,ssim,runtime_ms
BSD100,101085.png,x4,bicubic,21.636478881488305,0.49310828994306705,3.9821629998186836
BSD100,101087.png,x4,bicubic,25.37640321897047,0.7616935385227742,2.4790259994915687
BSD100,102061.png,x4,bicubic,23.930615025431212,0.7527373811385268,3.919615000995691
BSD100,103070.png,x4,bicubic,27.97376600972052,0.7993031643724599,3.763607001019409
BSD100,105025.png,x4,bicubic,24.09070052474096,0.6598198595121033,3.970525000113412
BSD100,106024.png,x4,bicubic,29.92545827254604,0.8564063776390262,3.7564199992630165
BSD100,108005.png,x4,bicubic,23.632158479726122,0.6526273348373207,4.043812999952934
BSD100,108070.png,x4,bicubic,21.246657936276016,0.5086722427808892,3.8919259986869292
BSD100,108082.png,x4,bicubic,24.815634561650263,0.7232143542272215,3.766367999560316
BSD100,109053.png,x4,bicubic,26.940911381965066,0.7487120471374468,4.227208000884275
BSD100,119082.png,x4,bicubic,20.861908049772335,0.5880141891795613,3.94981200042821
BSD100,12084.png,x4,bicubic,24.7062275622396,0.6527305896721504,2.967569998872932
BSD100,123074.png,x4,bicubic,27.48298756977601,0.7560049473418952,3.9977880005608313
BSD100,126007.png,x4,bicubic,25.99422633066768,0.754224462361421,3.792757999690366
BSD100,130026.png,x4,bicubic,22.99186322034849,0.6071064665839798,4.063375999976415
BSD100,134035.png,x4,bicubic,21.13143127122275,0.631236441423512,3.642482000941527
BSD100,14037.png,x4,bicubic,30.75202646975812,0.8364000388340855,4.417344000103185
BSD100,143090.png,x4,bicubic,29.20174203399348,0.8493837301279495,3.9849840013630455
BSD100,145086.png,x4,bicubic,22.87203153646808,0.6368243089692095,4.213087000607629
BSD100,147091.png,x4,bicubic,23.278256329975072,0.740169544719738,4.088384001079248
BSD100,148026.png,x4,bicubic,19.393499570464744,0.5419501906742709,6.054288000086672
BSD100,148089.png,x4,bicubic,21.256730935456144,0.519403590677188,4.039131999888923
BSD100,156065.png,x4,bicubic,23.167428759244572,0.5106087069855526,3.022412000063923
BSD100,157055.png,x4,bicubic,23.718216407773266,0.7071038187809412,4.447585999514558
BSD100,159008.png,x4,bicubic,24.129146013139614,0.7355654572754008,3.952372999265208
BSD100,160068.png,x4,bicubic,24.558130066726854,0.789223742166779,4.245426000125008
BSD100,16077.png,x4,bicubic,25.089781335288816,0.6653712026787922,3.77492000006896
BSD100,163085.png,x4,bicubic,27.087589190947373,0.7558169025681098,4.072321000421653
BSD100,167062.png,x4,bicubic,27.03186062948584,0.8260093983759925,3.781917001106194
BSD100,167083.png,x4,bicubic,18.10313699841239,0.4484420551909681,3.819260999080143
BSD100,170057.png,x4,bicubic,27.10281872642957,0.7500104885096897,4.901505999441724
BSD100,175032.png,x4,bicubic,19.257101748468934,0.35318360561831746,3.711731000294094
BSD100,175043.png,x4,bicubic,22.776386378614127,0.5880929460738505,3.816571999777807
BSD100,182053.png,x4,bicubic,21.970855750802897,0.6847368944753639,4.021490000013728
BSD100,189080.png,x4,bicubic,29.649880791210773,0.8341777942494949,4.1712889997143066
BSD100,19021.png,x4,bicubic,24.198411701566783,0.661140778102452,3.887756000040099
BSD100,196073.png,x4,bicubic,26.269564148971174,0.4381647356949297,3.863193000142928
BSD100,197017.png,x4,bicubic,25.518292339429234,0.6467231646035497,5.330805000994587
BSD100,208001.png,x4,bicubic,25.843259104386235,0.642279459404364,3.758336999453604
BSD100,210088.png,x4,bicubic,27.615937557173396,0.8471870315966359,4.121275998841156
BSD100,21077.png,x4,bicubic,23.62100205557564,0.6467092266923674,3.813858998910291
BSD100,216081.png,x4,bicubic,23.18069393068969,0.6270852545434313,4.114068999115261
BSD100,219090.png,x4,bicubic,24.07867340700154,0.6833209178034568,3.8278809988696594
BSD100,220075.png,x4,bicubic,24.176761359416652,0.7960686350989844,3.2408460010628914
BSD100,223061.png,x4,bicubic,22.5530768659055,0.5983271076665603,2.4596870007371763
BSD100,227092.png,x4,bicubic,31.493699844302515,0.8171413589910778,2.4239069989562267
BSD100,229036.png,x4,bicubic,20.308421943727094,0.5199987587426955,2.660578000359237
BSD100,236037.png,x4,bicubic,22.912304816317494,0.5726245640918598,3.8694079994456843
BSD100,24077.png,x4,bicubic,21.87167372355862,0.7534945036423775,2.547812999182497
BSD100,241004.png,x4,bicubic,29.48314304586286,0.7855684678354712,2.3698670011071954
BSD100,241048.png,x4,bicubic,22.864500119204784,0.5607920173200794,2.486643999873195
BSD100,253027.png,x4,bicubic,20.153942450906296,0.6249036319277849,2.3835010015318403
BSD100,253055.png,x4,bicubic,29.95009630484285,0.7896182883084952,2.3917420003272127
BSD100,260058.png,x4,bicubic,30.509927462838355,0.739847882910238,2.4057930004346417
BSD100,271035.png,x4,bicubic,24.427784745067477,0.6677076388435793,2.7870919984707143
BSD100,285079.png,x4,bicubic,22.502313044529476,0.5865659741577622,2.4581859997852007
BSD100,291000.png,x4,bicubic,19.55871074722108,0.36514213202424095,2.4683619994902983
BSD100,295087.png,x4,bicubic,25.413339276329488,0.668947039575268,2.6387959987914655
BSD100,296007.png,x4,bicubic,30.093823808892324,0.7447959273993003,2.3892980007076403
BSD100,296059.png,x4,bicubic,28.06755788418902,0.7120920675909428,3.87831900115998
BSD100,299086.png,x4,bicubic,29.600406707928137,0.7557311712953348,5.721842000639299
BSD100,300091.png,x4,bicubic,26.030775584883934,0.7238814801104559,3.7569409996649483
BSD100,302008.png,x4,bicubic,26.021236277440885,0.8961262894025465,3.711150000526686
BSD100,304034.png,x4,bicubic,22.182706974443192,0.5992086606033055,4.837671000132104
BSD100,304074.png,x4,bicubic,23.506723922991533,0.5476479594890377,3.8182739990588743
BSD100,306005.png,x4,bicubic,25.499310105985067,0.7373667955474815,2.378784998654737
BSD100,3096.png,x4,bicubic,33.69964549287313,0.9553261049145844,2.38789499962877
BSD100,33039.png,x4,bicubic,18.811919370770493,0.5107443662115349,2.4926400001277216
BSD100,351093.png,x4,bicubic,20.659621497246945,0.5893035910698676,3.6880970001220703
BSD100,361010.png,x4,bicubic,25.01877754512984,0.7108156482357453,3.706334999151295
BSD100,37073.png,x4,bicubic,26.842158196830617,0.7061824068536066,3.6419999996724073
BSD100,376043.png,x4,bicubic,23.216953761089087,0.5322998260988946,3.9652870000281837
BSD100,38082.png,x4,bicubic,25.444350089752948,0.5584818104412904,3.762456999538699
BSD100,38092.png,x4,bicubic,23.937694147553113,0.6453145199108875,3.9754570007062284
BSD100,385039.png,x4,bicubic,21.203546129926774,0.5941481426630211,3.8894650006113807
BSD100,41033.png,x4,bicubic,26.962792096246258,0.71508854809708,3.7701830005971715
BSD100,41069.png,x4,bicubic,21.889996730902862,0.4112189737595868,4.281519999494776
BSD100,42012.png,x4,bicubic,27.032246038490413,0.7577463656042717,3.7820329998794477
BSD100,42049.png,x4,bicubic,25.76201813717902,0.8709653003957675,3.8659999991068617
BSD100,43074.png,x4,bicubic,28.134786065998277,0.7784618057072068,3.6765430013474543
BSD100,45096.png,x4,bicubic,32.18566463226117,0.9011248827901346,7.9782729990256485
BSD100,54082.png,x4,bicubic,26.320825433757847,0.6586611219907174,3.7403789992822567
BSD100,55073.png,x4,bicubic,20.277011284349005,0.4422324319072201,4.094749001524178
BSD100,58060.png,x4,bicubic,19.368790605758104,0.5208521446737927,3.9774859997123713
BSD100,62096.png,x4,bicubic,21.973667393038248,0.6740329244346631,3.7524990002566483
BSD100,65033.png,x4,bicubic,22.831345803718097,0.49934033517052007,4.039061999719706
BSD100,66053.png,x4,bicubic,25.207254806843103,0.6174450604773456,3.7914500007900642
BSD100,69015.png,x4,bicubic,27.493862898310546,0.7429646095602674,3.7668060012947535
BSD100,69020.png,x4,bicubic,25.234164769016253,0.5093447269124901,3.76015300025756
BSD100,69040.png,x4,bicubic,23.06020244541461,0.5662444669787315,10.30589800029702
BSD100,76053.png,x4,bicubic,26.998441084036912,0.6336094525555906,3.6077599997952348
BSD100,78004.png,x4,bicubic,23.223115558152124,0.6282873512931748,4.451092001545476
BSD100,8023.png,x4,bicubic,27.270976896166687,0.8271031377300747,2.4488590006512823
BSD100,85048.png,x4,bicubic,22.80784969777697,0.6133796317365566,2.3907989998406265
BSD100,86000.png,x4,bicubic,22.954174950270993,0.6930847386851392,2.462018999722204
BSD100,86016.png,x4,bicubic,20.447029702969072,0.26811808215173655,2.408071000900236
BSD100,86068.png,x4,bicubic,25.311311834538962,0.4959347384856862,3.5427399998297915
BSD100,87046.png,x4,bicubic,23.712698356106188,0.7171333392128023,2.4971370003186166
