dataset,image,scale,method,psnr,ssim,runtime_ms
Set14,baboon.png,x4,bicubic,20.279718014643212,0.42493409146576044,3.6359530004119733
Set14,barbara.png,x4,bicubic,23.58230218352979,0.66615131496639,6.169049998788978
Set14,bridge.png,x4,bicubic,23.0581655125575,0.5720844400075229,3.9695209998171777
Set14,coastguard.png,x4,bicubic,23.99146256827338,0.5004231007320651,1.6689819985913346
Set14,comic.png,x4,bicubic,20.206261130472733,0.605521542904795,1.4632380007242318
Set14,face.png,x4,bicubic,28.928239950183272,0.7002549118480129,1.2523300010798266
Set14,flowers.png,x4,bicubic,23.819462579338616,0.7180993441874753,3.054589000385022
Set14,foreman.png,x4,bicubic,25.915031130145394,0.8459353351917719,1.907445999677293
Set14,lenna.png,x4,bicubic,28.35050141455603,0.7559011307544411,4.303367999455077
Set14,man.png,x4,bicubic,24.412266220687428,0.6700019388100493,4.306009999709204
Set14,monarch.png,x4,bicubic,26.245874178504543,0.8752509517003374,5.938180000157445
Set14,pepper.png,x4,bicubic,27.18070521241268,0.7633615015885113,4.250193000189029
Set14,ppt3.png,x4,bicubic,20.423389936696577,0.81295001633025,5.476558999362169
Set14,zebra.png,x4,bicubic,22.944200086080947,0.684313230566579,3.4205440006189747
