dataset,image,scale,method,psnr,ssim,runtime_ms
Urban100,img_001.png,x2,bicubic,26.794164142168107,0.8179433606706997,11.767029000111506
Urban100,img_002.png,x2,bicubic,26.376831626084048,0.8686406460342481,14.122770999165368
Urban100,img_003.png,x2,bicubic,23.312136399080625,0.7643059563769888,12.168437999207526
Urban100,img_004.png,x2,bicubic,24.81017298213854,0.8968427396464919,13.802923000184819
Urban100,img_005.png,x2,bicubic,27.03582897663405,0.9417271371622175,14.415439998629154
Urban100,img_006.png,x2,bicubic,22.250615004325933,0.7270348298404047,18.35203400150931
Urban100,img_007.png,x2,bicubic,29.93796034373552,0.928363207168999,12.216159999297815
Urban100,img_008.png,x2,bicubic,21.70920953428679,0.7866646211634466,10.2744169998914
Urban100,img_009.png,x2,bicubic,33.35337012336595,0.9312327016867546,25.386324999999488
Urban100,img_010.png,x2,bicubic,25.005253593126643,0.8755134818784084,25.98595800009207
Urban100,img_011.png,x2,bicubic,19.372311930320183,0.8013759339948038,17.528992000734434
Urban100,img_012.png,x2,bicubic,23.471657721231782,0.8070637447549984,27.28427500005637
Urban100,img_013.png,x2,bicubic,28.82460999192888,0.8563178303728184,27.225821000683936
Urban100,img_014.png,x2,bicubic,21.892509543232773,0.7491205384117715,32.429513999886694
Urban100,img_015.png,x2,bicubic,24.627954601014423,0.7509043187956549,28.95151400116447
Urban100,img_016.png,x2,bicubic,28.358456531067944,0.9137750047414962,31.70086899990565
Urban100,img_017.png,x2,bicubic,25.855938180591714,0.8862760455451942,12.55458100058604
Urban100,img_018.png,x2,bicubic,26.651655671598515,0.8288412634014598,15.556804999505403
Urban100,img_019.png,x2,bicubic,21.239680847187913,0.8250751329658043,12.096140000721789
Urban100,img_020.png,x2,bicubic,22.98168545898241,0.8423822789537129,21.034777999375365
Urban100,img_021.png,x2,bicubic,30.554766673257742,0.8707992773844171,16.895730999749503
Urban100,img_022.png,x2,bicubic,26.260489500351692,0.8303146555360906,33.71600900027261
Urban100,img_023.png,x2,bicubic,29.884216865295336,0.9400508093094491,18.13139000114461
Urban100,img_024.png,x2,bicubic,20.840564040339657,0.7555148839720477,11.90290799968352
Urban100,img_025.png,x2,bicubic,28.349768008551088,0.891317423952259,13.351539000723278
Urban100,img_026.png,x2,bicubic,26.50419542359152,0.6911599651586166,13.757864000581321
Urban100,img_027.png,x2,bicubic,28.11339937020761,0.8460454547558944,15.236241999446065
Urban100,img_028.png,x2,bicubic,31.1057657065166,0.902977711470785,12.30410199968901
Urban100,img_029.png,x2,bicubic,24.730607926279383,0.8456407163914924,12.263153001185856
Urban100,img_030.png,x2,bicubic,23.889059537236534,0.8501281263261217,12.34476799982076
Urban100,img_031.png,x2,bicubic,24.48609685148815,0.8627128714342914,12.104506000468973
Urban100,img_032.png,x2,bicubic,28.118171561588845,0.8788774063344208,12.137150999478763
Urban100,img_033.png,x2,bicubic,25.545446411899185,0.7980681575030241,13.93529799861426
