dataset,scale,method,psnr,ssim,runtime_ms
BSD100,x2,bicubic,28.272942509209553,0.8458959815705418,4.1499798600852955
BSD100,x3,bicubic,25.881260534713807,0.7387937423002059,3.0534778700348397
BSD100,x4,bicubic,24.64026743108202,0.6607676625316027,3.7161619800463086
Set14,x2,bicubic,28.319448936492396,0.8565822423496986,4.808746285821793
Set14,x3,bicubic,25.71720742563173,0.7612500907853809,4.081061999906004
Set14,x4,bicubic,24.238398579863006,0.6853702036467115,3.6297116427834095
Set5,x2,bicubic,31.786759975999097,0.917804252989281,2.366634600184625
Set5,x3,bicubic,28.606663822679742,0.8529408332385794,2.187459999549901
Set5,x4,bicubic,26.690236757631784,0.7899089729542399,1.7997796003328403
Urban100,x2,bicubic,25.429463416401646,0.8378451554511263,17.5717239700316
Urban100,x3,bicubic,23.007196244632805,0.7329483707055076,14.482679909997387
Urban100,x4,bicubic,21.699059082182448,0.6517022051791017,16.123636860047554
