dataset,image,scale,method,degradation,lr_source_file,metric_border_pixels,dimension_policy,ssim_protocol,nedi_window_size,nedi_edge_threshold,nedi_scale_strategy,nedi_native_passes,nedi_edge_pixel_count,nedi_pixel_count,nedi_bilinear_fallback_count,nedi_numerical_fallback_count,nedi_dimension_adjustment,nedi_native_width,nedi_native_height,nedi_sampling_grid,psnr_y,ssim_y,psnr_rgb,ssim_rgb,latency_mean_ms,latency_median_ms,latency_std_ms,latency_min_ms,latency_max_ms,warmup_runs,timed_runs,hr_width,hr_height,lr_width,lr_height,generated_at_utc,python_version,numpy_version,pillow_version,skimage_version,operating_system,processor,compute_instance,execution_mode,worker_count
Set5,baby.png,x2,nedi,prepared_bicubic_lr,baby.png,2,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2,1,86393,84810,111287,0,False,512,512,even_insertion_2x_half_pixel_aligned,36.117090809320395,0.9420854408015169,34.43138632180045,0.9267201717332997,12573.642333,12256.1849655,719.752781890825,11950.414198,14374.493017,3,10,512,512,256,256,2026-08-30T16:31:29.765490+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Set5,bird.png,x2,nedi,prepared_bicubic_lr,bird.png,2,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2,1,35246,33708,28213,0,False,288,288,even_insertion_2x_half_pixel_aligned,36.142641775899435,0.9677498907625601,34.16082876861169,0.9454510825298311,4592.2256407,4471.5722235,233.03717884096164,4332.151228,5107.138601,3,10,288,288,144,144,2026-08-30T16:29:40.368833+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Set5,butterfly.png,x2,nedi,prepared_bicubic_lr,butterfly.png,2,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2,1,27922,26620,22277,0,False,256,256,even_insertion_2x_half_pixel_aligned,27.187479578888976,0.915853889242998,25.823359005043503,0.8972647253423173,3645.8369642000002,3504.0696155,410.76316761195756,3274.698423,4717.508547,3,10,256,256,128,128,2026-08-30T16:29:26.874935+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Set5,head.png,x2,nedi,prepared_bicubic_lr,head.png,2,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2,1,27512,26505,32016,0,False,280,280,even_insertion_2x_half_pixel_aligned,34.51941018324158,0.8525746110755149,31.155225182862367,0.7843061906917398,4107.7739166,4126.8561465,101.6403437693367,3877.505827,4259.815538,3,10,280,280,140,140,2026-08-30T16:29:34.793709+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Set5,woman.png,x2,nedi,prepared_bicubic_lr,woman.png,2,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2,1,29136,27909,30630,0,False,228,344,even_insertion_2x_half_pixel_aligned,31.815341024696018,0.9436534042153704,30.38497111840543,0.9333933127799071,3828.3528819,3776.598408,142.20818730962523,3651.031746,4185.871836,3,10,228,344,114,172,2026-08-30T16:30:18.321979+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Set14,baboon.png,x2,nedi,prepared_bicubic_lr,baboon.png,2,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2,1,142888,139431,40080,0,False,500,480,even_insertion_2x_half_pixel_aligned,24.664653739934007,0.6756215513089893,22.519469828549546,0.6150261554572131,15349.6510527,15244.862937,914.1088012031264,14396.70036,17708.441168,3,10,500,480,250,240,2026-08-30T16:34:50.423887+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Set14,barbara.png,x2,nedi,prepared_bicubic_lr,barbara.png,2,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2,1,170528,167934,142459,0,False,720,576,even_insertion_2x_half_pixel_aligned,27.08639886036572,0.8292425080181329,25.588009797787915,0.806755354809376,24506.9974795,24174.443794500003,1128.8817223096553,22881.983747,26949.532585,3,10,720,576,360,288,2026-08-30T16:36:48.461672+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Set14,bridge.png,x2,nedi,prepared_bicubic_lr,bridge.png,2,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2,1,159917,156341,39756,0,False,512,512,even_insertion_2x_half_pixel_aligned,27.307013790575517,0.7707280029131026,25.985092478698782,0.7573742368872152,16819.118365,16644.0444835,712.1820359762302,15897.01839,18360.046845,3,10,512,512,256,256,2026-08-30T16:35:09.906318+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Set14,coastguard.png,x2,nedi,prepared_bicubic_lr,coastguard.png,2,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2,1,54586,52638,23075,0,False,352,288,even_insertion_2x_half_pixel_aligned,28.498272141575885,0.7585071436481745,27.13585448225185,0.7367504339416407,6203.0395667,6159.0278765,210.9753554294674,5883.039049,6547.657996,3,10,352,288,176,144,2026-08-30T16:32:50.524854+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Set14,comic.png,x2,nedi,prepared_bicubic_lr,comic.png,2,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2,1,53140,51322,15874,0,True,250,360,even_insertion_2x_half_pixel_aligned,25.440090453499252,0.8251873720602609,23.98658819198538,0.8140380323264447,5445.4025394,5387.81883,316.25166473587365,5090.160816,6313.898529,3,10,250,361,125,180,2026-08-30T16:34:01.238064+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
