dataset,image,scale,method,degradation,lr_source_file,metric_border_pixels,dimension_policy,ssim_protocol,nedi_window_size,nedi_edge_threshold,nedi_scale_strategy,nedi_native_passes,nedi_edge_pixel_count,nedi_pixel_count,nedi_bilinear_fallback_count,nedi_numerical_fallback_count,nedi_dimension_adjustment,nedi_native_width,nedi_native_height,nedi_sampling_grid,psnr_y,ssim_y,psnr_rgb,ssim_rgb,latency_mean_ms,latency_median_ms,latency_std_ms,latency_min_ms,latency_max_ms,warmup_runs,timed_runs,hr_width,hr_height,lr_width,lr_height,generated_at_utc,python_version,numpy_version,pillow_version,skimage_version,operating_system,processor,compute_instance,execution_mode,worker_count
Set5,baby.png,x3,nedi,prepared_bicubic_lr,baby.png,3,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2_then_bicubic_to_target,1,43360,42236,44125,0,True,340,340,even_insertion_2x_half_pixel_aligned,33.11220555510565,0.8896797916252378,31.572350734988678,0.8640096856108676,5258.0700654,5241.2879004999995,75.29326302784473,5117.929122,5366.162285,3,10,512,512,170,170,2026-08-31T17:15:30.838295+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Set5,bird.png,x3,nedi,prepared_bicubic_lr,bird.png,3,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2_then_bicubic_to_target,1,18570,17416,10041,0,True,192,192,even_insertion_2x_half_pixel_aligned,31.80008095977238,0.9140196850603245,29.944823483253288,0.8853399314372861,1814.6294181,1803.791346,48.311861424479865,1743.368359,1880.874615,3,10,288,288,96,96,2026-08-31T17:14:45.028667+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Set5,butterfly.png,x3,nedi,prepared_bicubic_lr,butterfly.png,3,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2_then_bicubic_to_target,1,14775,13801,7705,0,True,170,170,even_insertion_2x_half_pixel_aligned,23.637863669237298,0.8197308368025891,22.347390453702175,0.7891616538380255,1424.6757753,1415.280701,81.15978930148879,1322.147725,1586.335067,3,10,256,256,85,85,2026-08-31T17:14:39.765410+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Set5,head.png,x3,nedi,prepared_bicubic_lr,head.png,3,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2_then_bicubic_to_target,1,13781,13061,12701,0,True,186,186,even_insertion_2x_half_pixel_aligned,32.64588317111359,0.790833517228904,29.682274146870693,0.7117380903844657,1597.4173702,1603.7579075,52.78425465458932,1476.784152,1675.09066,3,10,280,280,93,93,2026-08-31T17:14:42.052657+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Set5,woman.png,x3,nedi,prepared_bicubic_lr,woman.png,3,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2_then_bicubic_to_target,1,14801,13918,11885,0,True,152,228,even_insertion_2x_half_pixel_aligned,28.23645736476945,0.883506420629146,26.858561368533852,0.8666976458650483,1575.3136309000001,1566.2649815,27.675101919251606,1538.58311,1618.393981,3,10,228,344,76,114,2026-08-31T17:15:00.569725+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Set14,baboon.png,x3,nedi,prepared_bicubic_lr,baboon.png,3,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2_then_bicubic_to_target,1,63832,61566,17789,0,True,332,320,even_insertion_2x_half_pixel_aligned,23.047129275923616,0.5207258992144096,21.00977526006828,0.45816467378557646,5597.4677641,5604.5502325,50.08380494256464,5510.76456,5680.504408,3,10,500,480,166,160,2026-08-31T17:16:45.168106+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Set14,barbara.png,x3,nedi,prepared_bicubic_lr,barbara.png,3,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2_then_bicubic_to_target,1,78091,75836,61973,0,True,480,384,even_insertion_2x_half_pixel_aligned,26.095645175668707,0.7465536152272677,24.55615980990475,0.7130331483754858,8976.9323745,8965.713734,136.86153164429294,8800.353238,9241.891456,3,10,720,576,240,192,2026-08-31T17:17:29.198284+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Set14,bridge.png,x3,nedi,prepared_bicubic_lr,bridge.png,3,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2_then_bicubic_to_target,1,73182,70732,15629,0,True,340,340,even_insertion_2x_half_pixel_aligned,25.185597443916276,0.62640083572606,23.863676132039544,0.6038062501954224,6139.8409785,6140.9934945,74.11067282435494,5988.832894,6289.221163,3,10,512,512,170,170,2026-08-31T17:16:52.234839+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Set14,coastguard.png,x3,nedi,prepared_bicubic_lr,coastguard.png,3,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2_then_bicubic_to_target,1,22189,20915,12569,0,True,234,192,even_insertion_2x_half_pixel_aligned,26.188402362735992,0.5909950323754262,24.842895501674874,0.5532189369990989,2169.9430439,2163.6534225,58.75621263939899,2057.79148,2257.500575,3,10,352,288,117,96,2026-08-31T17:16:00.119143+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Set14,comic.png,x3,nedi,prepared_bicubic_lr,comic.png,3,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2_then_bicubic_to_target,1,25673,24317,5361,0,True,166,240,even_insertion_2x_half_pixel_aligned,22.6880742352271,0.6660606695491765,21.225967414013805,0.6508300132966105,2038.9548611,2034.2985294999999,30.98171907736827,1986.585088,2108.202711,3,10,250,361,83,120,2026-08-31T17:16:26.652154+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
